Lp;etykieta [label];grupa;English [e]
75;cart_electro_missing;cart;In your cart there are accessories operated with remote control or wall switch. Set requires electrical control.
76;CAUTION: weight tolerance for order equals +/-10%;cart;CAUTION: weight tolerance for order equals +/-10%
77;Checkout;cart;Checkout
78;Choose delivery type;cart;Select delivery type
79;Client code;cart;Customer code 
80;Client name;cart;Customer name
81;Client order;cart;Order No.
82;Confirmation of order;cart;Order confirmation
83;Continue shoping;cart;Continue shopping
84;Date;cart;Date of coming in
85;Delivery;cart;Means of delivery
86;Delivery costs;cart;Delivery cost
87;Delivery free;cart;Delivery free of charge!
88;Delivery type;cart;Delivery type 
89;Dimension;cart;Window dimensions
90;gross;cart;Gross
91;Gross;cart;Gross
92;Gross price;cart;Gross price
93;Gross value;cart;Gross value
94;Indeks;cart;Index
95;Net;cart;Net
96;netto;cart;Net
97;Netto;cart;Net
98;no_article_in_cart;cart;No articles in cart
99;Not enough articles;cart;
100;Order guide;cart;
101;Order status;cart;Order status
102;Order value;cart;Order value
103;Payment type;cart;Means of payment
104;Please; fill the order number field;Fill the order number space
105;Price netto;cart;Net price
106;price_zero_br;cart;No price
107;price_zero_nt;cart;No price
108;Quantity;cart;Quantity
109;question_add_promotion_item;cart;Bargain!
110;question_interested;cart;Add to cart
111;Realisation date;cart;Realisation date
112;Recalculate;cart;Calculate
113;Specyfication;cart;Specification
114;Summary;cart;Total
115;szt;cart;Unit
116;Total;cart;Total
117;Total value;cart;Total value
118;Total value gross;cart;Total value
119;Value;cart;Value
120;value_zero_br;cart;No  
121;value_zero_nt;cart;No  
122;Wartoæ;cart;Value
123;Your order;cart;Your order from

124;crm_title_1;crm;Consent
125;crm_title_2;crm;Consent
126;crm_title_3;crm;
127;crm_variables_1;crm;yes/no
128;crm_variables_2;crm;yes/no
129;crm_variables_3;crm;
130;wyroznik1_nie;crm;No consent
131;wyroznik1_tak;crm;Consent
132;wyroznik2_nie;crm;No consent
133;wyroznik2_tak;crm;Consent

134;COMPANY NAME;firma;Company name FAKRO ...

135;Choose size;kategorie;Select size

136;e;lang;English
137;i;lang;Polish
138;jêzyki;lang;Language
139;langs;lang;

140;option_auth;options;Means of authorization
141;option_autologout;options;Autologout after how many minutes
142;option_czas;options;Time limit for the article in cart
143;option_koszyk;options;Navigate to cart
144;option_mag;options;Stock control
145;option_master;options;Host
146;option_prompt;options;Ask about quantity before adding to cart
147;option_temptime;options;Temporary data storage time
148;option_wsp;options;WebService password
149;option_wsu;options;WebService user

150;Accept date;order;Confirmation date
151;Accepted/denied by;order;Accepted/rejected by
152;Address;order;Address
153;alt_order_prop;order;Order details
154;Answer_no;order;No  
155;Answer_yes;order;Yes 
156;Are You sure  You want to delete this order ?;order;Are you sure you want to delete order?
157;Check the electric modules cancelation;order;Mark that your decision to resign from electrical control module is a conscious one
158;Choose payment type;order;Select means of payment
159;Credit card;order;Electronic payment (credit card, quick transfer)
160;Customer name;order;Customer name
161;Delivery address;order;Delivery address
162;Delivery cost;order;Delivery cost
163;Do order;order;
164;electric modules;order;Electrical control module(s)
165;Go order;order;Order  
166;Index Name;order;Index Name
167;Invoice;order;VAT invoice for transactor
168;No;order;No.
169;No order in database;order;No order in database
170;Order in FAKRO market no;order;Order in FAKRO store No.
171;Order items;order;Order items
172;Pay;order;Pay
173;Payer;order;Payer
174;payment_-;order;On delivery
175;payment_c;order;Electronic payment  
176;Payment possibilities link;order;Check  electronic payment options available
177;payment_possibilities_preamble;order;Electronic payment options available
178;Payment type not chosen;order;Means of payment not chosen
179;Price type;order;Price type
180;Print;order;Print  
181;printlist;order;Print list
182;Receipient;order;Recipient
183;sysmsg_delivery_free_info_prefix;order;If your order value exceeds
184;sysmsg_delivery_free_info_suffix;order;Delivery free of charge!
185;Tax id;order;Tax ID Number
186;Temporary status;order;Current status
187;Terms and condition not accepted;order;Regulations not accepted
188;Terms and conditions;order;Store regulations
