Lp;etykieta [label];grupa;de [de];Polski ISO [i]
181;Order number;system;"";"Nr zam."
182;Order number.;system;"";"Numer zamówienia"
183;Order person;system;"";"Osoba zamawiaj¹ca"
184;Prepare order;system;"";"Przygotuj zamówienie"
185;Prepare reservation;system;"";"Przygotuj reserwacje"
186;Print PDF;system;"";"Drukuj do PDF-a"
187;Promotion name;system;"";"Nazwa promocji"
188;Reservation number;system;"";"Numer rezerwacji"
189;Return;system;"";"Powrót"
190;Send offer;system;"";"Przelij ofertê"
191;Show picture;system;"";"Poka¿ zdjêcie"
192;Status;system;"";"Status"
193;Subcategories;system;"";"Podkategorie"
194;Submit order;system;"";"Z³ó¿ zamówienie"
195;T;system;"";"Tow"
196;Total items;system;"";"Iloæ elementów"
197;Wrong value;system;"";"Niepoprawna wartoæ"
198;de;system;"";""
199;delete;system;"";"usuñ"
200;login;system;"";"zaloguj siê"
201;logout;system;"";"wyloguj siê"
202;no group;system;"";"brak grupy"
203;pages;system;"";"strony"
204;password;system;"";"has³o"
205;register;system;"";"zarejestruj siê"
206;submit_save_msg;system;"";"zapisz t³umaczenie"
207;submit_search_in_language;system;"";"szukaj w jêzyku"
208;th_index;system;"";"Symbol"
209;th_name;system;"";"Nazwa"
210;th_options;system;"";"Opcje"
211;title_ka_to_c;system;"";"iloæ towarów"
212;title_to_ka_c;system;"";"w ilu kategoriach"
213;user code;system;"";"E-mail"

214;title_tp_a;towar-param;"";"szerokoæ"
215;title_tp_b;towar-param;"";"wysokoæ"
216;title_tp_c;towar-param;"";""
217;title_tp_d;towar-param;"";""
218;title_tp_gatunek;towar-param;"";"Czy pozycja jest sterowaniem elektrycznym ?"
219;title_tp_l;towar-param;"";""
220;title_tp_m_jm;towar-param;"";""
221;title_tp_m_m;towar-param;"";""
222;title_tp_m_m2;towar-param;"";""
223;title_tp_m_szt;towar-param;"";""
224;title_tp_o;towar-param;"";""
225;title_tp_r1;towar-param;"";""
226;title_tp_r2;towar-param;"";""
227;title_tp_stan;towar-param;"";""
228;tp_a_jm;towar-param;"";"cm"
229;tp_b_jm;towar-param;"";"cm"
230;tp_gatunek_jm;towar-param;"";"(tak/nie)"

231;City;user;"";"Miasto"
232;Company;user;"";"Nazwa firmy"
233;Email;user;"";"E-mail"
234;Email already in database;user;"";""
235;Fax;user;"";"Faks"
236;Forename;user;"";"Imiê"
237;Identyfication number;user;"";""
238;Login;user;"";"Logowanie"
239;Password;user;"";"Has³o"
240;Password confirm;user;"";"Potwierdzenie has³a"
241;Password confirm not match;user;"";"Potwierdzenie has³a siê nie zgadza"
242;Please insert Tax Id;user;"";"Proszê podaæ NIP"
243;Please insert Your name;user;"";"Nie poda³e imienia"
244;Please insert Your surname;user;"";"NIe poda³e nazwiska"
245;Please insert cellphone number;user;"";"Proszê podaæ numer telefonu komórkowego"
246;Please insert city name;user;"";"Proszê podaæ miasto"
247;Please insert delivery address;user;"";"Proszê podaæ adres dostawy"
248;Please insert email address;user;"";"Proszê podaæ adres email"
249;Please insert password;user;"";"Proszê podaæ has³o"
250;Please insert street name;user;"";"Prosze podaæ ulicê"
251;Please insert telephone number;user;"";"Proszê podaæ numer telefonu"
252;Please insert zip code;user;"";"Proszê podaæ kod pocztowy"
253;Sex;user;"";""
254;Street;user;"";"Ulica"
255;Surname;user;"";"Nazwisko"
